Tytul;Moja_ocena;Srednia_ocena;Premiera;Rok;Liczba_glosow;Gatunek;Produkcja;Dlugosc;Rezyser
Patch Adams;7;7.6;21 paüdziernik 1998;1998;46 469;Biograficzny;USA;1 godz. 56 min.;Tom Shadyac
Pierwszy cz≥owiek;8;7.2;29 sierpieÒ 2018;2018;63 184;Biograficzny;Japonia;2 godz. 21 min.;Damien Chazelle
Czerwona jaskÛ≥ka;NaN;7.0;19 luty 2018;2018;85 610;Thriller;USA;2 godz. 19 min.;Francis Lawrence
Adwokat diab≥a;7;7.9;13 paüdziernik 1997;1997;418 734;Thriller;Niemcy;2 godz. 24 min.;Taylor Hackford
Gwiezdne wojny: Skywalker. Odrodzenie;4;6.0;16 grudzieÒ 2019;2019;72 122;Przygodowy;USA;2 godz. 21 min.;J.J. Abrams
Oblicze mroku;3;5.5;12 paüdziernik 2018;2018;11 908;Thriller;USA;1 godz. 43 min.;Assaf Bernstein
Watchmen. Straønicy;7;7.2;23 luty 2009;2009;98 113;Dramat;USA;2 godz. 43 min.;Zack Snyder
25. godzina;8;7.4;16 grudzieÒ 2002;2002;67 908;Dramat;USA;2 godz. 15 min.;Spike Lee
Karate Kid;NaN;6.6;10 czerwiec 2010;2010;56 710;Familijny;Chiny;2 godz. 20 min.;Harald Zwart
Shazam!;5;6.5;27 marzec 2019;2019;55 901;Fantasy;USA;2 godz. 12 min.;David F. Sandberg
ToøsamoúÊ;6;7.3;25 kwiecieÒ 2003;2003;54 561;Thriller;USA;1 godz. 30 min.;James Mangold
Operacja Overlord;5;5.9;22 wrzesieÒ 2018;2018;15 176;Horror;Kanada;1 godz. 49 min.;Julius Avery
Jak zosta≥em gangsterem. Historia prawdziwa;7;7.5;12 grudzieÒ 2019;2019;95 450;Sensacyjny;Polska;2 godz. 13 min.;Maciej Kawulski
Zatrzyj úlady;6;6.6;20 styczeÒ 2018;2018;10 250;Dramat;USA;1 godz. 48 min.;Debra Granik
To my;4;6.3;8 marzec 2019;2019;41 028;Horror;Chiny;2 godz.;Jordan Peele
Topielisko. Klπtwa La Llorony;8;5.2;15 marzec 2019;2019;14 975;Horror;USA;1 godz. 33 min.;Michael Chaves
åmierÊ nadejdzie dziú 2;7;5.9;13 luty 2019;2019;16 953;Horror;USA;1 godz. 40 min.;Christopher Landon
Groüne k≥amstwa;7;5.3;30 kwiecieÒ 2020;2020;9 393;Thriller;USA;1 godz. 36 min.;Michael Scott
Niepokonani;4;7.4;3 wrzesieÒ 2010;2010;76 235;Przygodowy;Polska;2 godz. 13 min.;Peter Weir
Slender Man;7;3.5;10 sierpieÒ 2018;2018;17 486;Horror;USA;1 godz. 33 min.;Sylvain White
NiÊ widmo;4;7.0;11 grudzieÒ 2017;2017;38 566;Dramat;USA;2 godz. 10 min.;Paul Thomas Anderson
Z≥odziej toøsamoúci. Historia prawdziwa;6;6.3;23 styczeÒ 2015;2015;19 745;Dramat;USA;1 godz. 40 min.;Rupert Goold
Planeta ma≥p;3;6.0;26 lipiec 2001;2001;67 918;Przygodowy;USA;1 godz. 59 min.;Tim Burton
Inwazja: Bitwa o Los Angeles;6;5.6;8 marzec 2011;2011;46 737;Akcja;USA;1 godz. 56 min.;Jonathan Liebesman
Taúmy Watykanu;3;4.6;23 lipiec 2015;2015;28 270;Horror;USA;1 godz. 31 min.;Mark Neveldine
Tyler Rake: Ocalenie;4;6.4;24 kwiecieÒ 2020;2020;36 857;Dramat;USA;1 godz. 57 min.;Sam Hargrave
Hannibal;7;7.6;9 luty 2001;2001;343 633;Thriller;USA;2 godz. 11 min.;Ridley Scott
To: Rozdzia≥ 2;5;6.1;26 sierpieÒ 2019;2019;50 409;Horror;Kanada;2 godz. 49 min.;Andy Muschietti
Amok;4;5.7;23 marzec 2017;2017;25 466;Krymina≥;Niemcy;1 godz. 48 min.;Kasia Adamik
PrzyjÍty;4;6.4;18 sierpieÒ 2006;2006;22 125;Komedia;USA;1 godz. 30 min.;Steve Pink
LÍk pierwotny;8;7.9;1 kwiecieÒ 1996;1996;123 226;Dramat;USA;2 godz. 9 min.;Gregory Hoblit
Apollo 13;7;7.4;22 czerwiec 1995;1995;219 272;Dramat;USA;2 godz. 20 min.;Ron Howard
Magiczne lato;6;7.0;1 czerwiec 2012;2012;15 157;Komedia obycz.;USA;1 godz. 49 min.;Rob Reiner
Pan Popper i jego pingwiny;7;6.3;16 czerwiec 2011;2011;33 630;Familijny;USA;1 godz. 35 min.;Mark Waters
I Love You Phillip Morris;7;6.6;18 styczeÒ 2009;2009;45 943;Biograficzny;Francja;1 godz. 42 min.;John Requa
Jestem na tak;7;7.0;9 grudzieÒ 2008;2008;206 315;Komedia rom.;Australia;1 godz. 44 min.;Peyton Reed
500 dni mi≥oúci;7;7.1;17 styczeÒ 2009;2009;143 320;Dramat;USA;1 godz. 35 min.;Marc Webb
Kult;8;5.0;31 sierpieÒ 2006;2006;25 189;Horror;Kanada;1 godz. 42 min.;Neil LaBute
Drapacz chmur;6;5.6;5 lipiec 2018;2018;26 737;Akcja;USA;1 godz. 42 min.;Rawson Marshall Thurber
Transporter;4;7.3;2 paüdziernik 2002;2002;267 032;Akcja;Francja;1 godz. 32 min.;Corey Yuen
Kobieta w czerni;6;6.3;3 luty 2012;2012;95 544;Dramat;Kanada;1 godz. 35 min.;James Watkins
Cuda z nieba;6;7.4;16 marzec 2016;2016;34 463;Dramat;USA;1 godz. 49 min.;Patricia Riggen
Czerwony smok;7;7.6;30 wrzesieÒ 2002;2002;242 967;Thriller;Niemcy;2 godz. 4 min.;Brett Ratner
Mi≥oúÊ Larsa;8;7.3;16 wrzesieÒ 2007;2007;47 119;Dramat;Kanada;1 godz. 46 min.;Craig Gillespie
èrÛd≥o nadziei;9;6.5;11 grudzieÒ 2014;2014;13 726;Dramat;Australia;1 godz. 51 min.;Russell Crowe
Urodzeni mordercy;NaN;7.6;26 sierpieÒ 1994;1994;100 380;Dramat;USA;2 godz. 2 min.;Oliver Stone
Sekretne okno;8;7.1;12 marzec 2004;2004;235 741;Thriller;USA;1 godz. 35 min.;David Koepp
Twardziele;5;6.4;6 wrzesieÒ 2012;2012;17 261;Komedia kryminalna;USA;1 godz. 34 min.;Fisher Stevens
M jak morderca;4;5.3;24 listopad 2017;2017;13 043;Krymina≥;USA;1 godz. 38 min.;Johnny Martin
Chloe;5;6.4;13 wrzesieÒ 2009;2009;52 962;Thriller;Francja;1 godz. 39 min.;Atom Egoyan
Wszystkie jasne miejsca;7;6.4;28 luty 2020;2020;18 450;Melodramat;USA;1 godz. 47 min.;Miguel Arteta
PamiÍtnik;5;8.0;20 maj 2004;2004;357 634;Melodramat;USA;2 godz. 3 min.;Nick Cassavetes
Oculus;6;6.3;8 wrzesieÒ 2013;2013;44 356;Horror;USA;1 godz. 43 min.;Mike Flanagan
Prestiø;NaN;8.1;17 paüdziernik 2006;2006;379 661;Dramat;USA;2 godz. 10 min.;Christopher Nolan
Dziedzictwo Bourne'a;NaN;6.5;30 lipiec 2012;2012;65 850;Sensacyjny;USA;2 godz. 15 min.;Tony Gilroy
PotrÛjna granica;NaN;5.8;6 marzec 2019;2019;28 644;Krymina≥;USA;2 godz. 5 min.;J.C. Chandor
Zdarzenie;7;5.3;10 czerwiec 2008;2008;49 224;Thriller;Indie;1 godz. 30 min.;M. Night Shyamalan
Glass;6;6.1;7 styczeÒ 2019;2019;53 819;Thriller;USA;2 godz. 9 min.;M. Night Shyamalan
Surogaci;4;6.4;24 wrzesieÒ 2009;2009;84 678;Thriller;USA;1 godz. 28 min.;Jonathan Mostow
Berek;5;6.4;14 czerwiec 2018;2018;47 630;Komedia;USA;1 godz. 40 min.;Jeff Tomsic
28 tygodni pÛüniej;NaN;6.6;26 kwiecieÒ 2007;2007;52 633;Horror;Hiszpania;1 godz. 39 min.;Juan Carlos Fresnadillo
The Meg;6;5.4;8 sierpieÒ 2018;2018;39 691;Horror;Chiny;1 godz. 53 min.;Jon Turteltaub
Dziewczyna i ch≥opak - wszystko na opak;6;7.4;26 lipiec 2010;2010;40 546;Dramat;USA;1 godz. 30 min.;Rob Reiner
Zombieland: Kulki w ≥eb;4;6.3;9 paüdziernik 2019;2019;27 093;Horror;USA;1 godz. 33 min.;Ruben Fleischer
Jaki ojciec, taka cÛrka;8;5.7;3 sierpieÒ 2018;2018;11 868;Dramat;USA;1 godz. 38 min.;Lauren Miller Rogen
Supersamiec;6;6.4;17 sierpieÒ 2007;2007;53 507;Komedia;USA;1 godz. 54 min.;Greg Mottola
Monster;6;7.4;16 listopad 2003;2003;67 749;Biograficzny;Niemcy;1 godz. 49 min.;Patty Jenkins
Chwa≥a bohaterom;7;6.5;15 paüdziernik 2017;2017;2 614;Biograficzny;USA;1 godz. 49 min.;Jason Hall
Zaginione dziewczyny;7;6.2;28 styczeÒ 2020;2020;18 729;Thriller;USA;1 godz. 35 min.;Liz Garbus
Platforma;8;6.5;6 wrzesieÒ 2019;2019;43 614;Thriller;Hiszpania;1 godz. 34 min.;Galder Gaztelu-Urrutia
W lesie dziú nie zaúnie nikt;4;4.4;20 marzec 2020;2020;78 588;Horror;Polska;1 godz. 45 min.;Bartosz M. Kowalski
Døungla;7;6.6;3 sierpieÒ 2017;2017;35 500;Thriller;Australia;1 godz. 55 min.;Greg McLean
Wszystko za øycie;6;7.9;1 wrzesieÒ 2007;2007;251 880;Biograficzny;USA;2 godz. 28 min.;Sean Penn
Nieproszeni goúcie;6;6.9;30 styczeÒ 2009;2009;57 582;Thriller;Kanada;1 godz. 27 min.;Charles Guard
Dary Anio≥a: Miasto koúci;8;6.5;12 sierpieÒ 2013;2013;91 614;Dramat;Kanada;2 godz. 10 min.;Harald Zwart
Blair Witch;8;4.8;11 wrzesieÒ 2016;2016;21 740;Horror;USA;1 godz. 30 min.;Adam Wingard
Escape Room;8;3.8;9 czerwiec 2017;2017;13 948;Horror;USA;1 godz. 29 min.;Will Wernick
Coco;6;8.3;20 paüdziernik 2017;2017;128 994;Animacja;USA;1 godz. 49 min.;Lee Unkrich
Dziewiπty legion;5;6.5;9 luty 2011;2011;30 046;Dramat;USA;1 godz. 54 min.;Kevin Macdonald
Kler;4;7.0;18 wrzesieÒ 2018;2018;181 797;Obyczajowy;Polska;2 godz. 13 min.;Wojciech Smarzowski
Wyúcig;4;7.8;2 wrzesieÒ 2013;2013;152 788;Biograficzny;Niemcy;2 godz. 3 min.;Ron Howard
Mama i tata;3;4.6;9 wrzesieÒ 2017;2017;5 740;Horror;USA;1 godz. 26 min.;Brian Taylor
Player One;8;7.1;11 marzec 2018;2018;80 714;Przygodowy;USA;2 godz. 20 min.;Steven Spielberg
DzieÒ zag≥ady;7;6.6;7 maj 1998;1998;31 753;Katastroficzny;USA;2 godz. 1 min.;Mimi Leder
Fala;5;6.2;16 sierpieÒ 2015;2015;14 978;Katastroficzny;Norwegia;1 godz. 44 min.;Roar Uthaug
Posejdon;7;6.1;10 maj 2006;2006;30 652;Katastroficzny;USA;1 godz. 39 min.;Wolfgang Petersen
Znaki;6;6.3;29 lipiec 2002;2002;175 767;Thriller;USA;1 godz. 46 min.;M. Night Shyamalan
Coú;5;7.5;25 czerwiec 1982;1982;96 595;Horror;USA;1 godz. 49 min.;John Carpenter
Captain America: Pierwsze starcie;6;6.7;19 lipiec 2011;2011;177 219;Akcja;USA;2 godz. 4 min.;Joe Johnston
Pojutrze;5;6.9;17 maj 2004;2004;216 616;Sci-Fi;USA;2 godz. 4 min.;Roland Emmerich
Uk≥ad zamkniÍty;8;7.4;5 kwiecieÒ 2013;2013;92 201;Thriller;Polska;1 godz. 55 min.;Ryszard Bugajski
Senna;7;8.0;7 paüdziernik 2010;2010;33 621;Biograficzny;Francja;1 godz. 46 min.;Asif Kapadia
12 ma≥p;7;7.6;27 grudzieÒ 1995;1995;210 529;Dramat;USA;2 godz. 9 min.;Terry Gilliam
Nieoszlifowane diamenty;7;6.7;30 sierpieÒ 2019;2019;34 404;Dramat;USA;2 godz. 15 min.;Benny Safdie
Historia ma≥øeÒska;8;7.4;29 sierpieÒ 2019;2019;100 312;Dramat;USA;2 godz. 16 min.;Noah Baumbach
Ptaki Nocy (i fantastyczna emancypacja pewnej Harley Quinn);7;6.1;25 styczeÒ 2020;2020;34 231;Akcja;USA;1 godz. 49 min.;Cathy Yan
Niez≥omny;8;7.2;17 listopad 2014;2014;67 838;Biograficzny;USA;2 godz. 17 min.;Angelina Jolie
SmÍtarz dla zwierzakÛw;4;5.5;16 marzec 2019;2019;31 115;Horror;Kanada;1 godz. 41 min.;Kevin Kolsch
Pearl Harbor;5;7.4;21 maj 2001;2001;221 103;Melodramat;USA;3 godz. 3 min.;Michael Bay
6 Underground;5;5.9;10 grudzieÒ 2019;2019;33 219;Akcja;USA;2 godz. 7 min.;Michael Bay
Irlandczyk;8;7.1;27 wrzesieÒ 2019;2019;83 941;Biograficzny;USA;3 godz. 30 min.;Martin Scorsese
Kraina lodu II;7;7.0;7 listopad 2019;2019;44 146;Animacja;USA;1 godz. 43 min.;Jennifer Lee
W wysokiej trawie;6;4.9;20 wrzesieÒ 2019;2019;20 558;Horror;Kanada;1 godz. 41 min.;Vincenzo Natali
Eli;6;5.3;18 paüdziernik 2019;2019;14 462;Horror;USA;1 godz. 38 min.;Ciaran Foy
Joker;7;8.4;31 sierpieÒ 2019;2019;250 236;Dramat;Kanada;2 godz. 2 min.;Todd Phillips
Boøe Cia≥o;9;7.8;29 sierpieÒ 2019;2019;155 758;Obyczajowy;Polska;1 godz. 55 min.;Jan Komasa
El Camino: Film "Breaking Bad";8;6.4;11 paüdziernik 2019;2019;40 289;Dramat;USA;2 godz. 2 min.;Vince Gilligan
Trauma;5;6.5;22 wrzesieÒ 2019;2019;28 838;Thriller;USA;1 godz. 39 min.;Brad Anderson
Dom woskowych cia≥;6;5.4;26 kwiecieÒ 2005;2005;69 129;Horror;Australia;1 godz. 53 min.;Jaume Collet-Serra
Dziewczyna w czerwonej pelerynie;6;6.5;7 marzec 2011;2011;83 758;Fantasy;Kanada;1 godz. 40 min.;Catherine Hardwicke
Wszechstronna dziewczyna;5;6.3;3 sierpieÒ 2016;2016;7 318;Dramat;USA;1 godz. 51 min.;Colm McCarthy
Wyborcze jaja;8;6.0;9 sierpieÒ 2012;2012;16 016;Komedia;USA;1 godz. 25 min.;Jay Roach
Dracula: Historia nieznana;5;6.4;30 wrzesieÒ 2014;2014;92 956;Fantasy;Japonia;1 godz. 32 min.;Gary Shore
Tajemnica Westerplatte;4;5.2;15 luty 2013;2013;18 873;Dramat;Polska;1 godz. 58 min.;Pawe≥ Chochlew
OszukaÊ przeznaczenie 5;6;5.7;4 sierpieÒ 2011;2011;58 047;Horror;Kanada;1 godz. 32 min.;Steven Quale
The Boy;7;5.8;20 styczeÒ 2016;2016;44 468;Horror;Kanada;1 godz. 37 min.;William Brent Bell
Zmiana pasa;8;6.9;7 kwiecieÒ 2002;2002;18 635;Dramat;USA;1 godz. 39 min.;Roger Michell
Holmes i Watson;5;4.4;20 grudzieÒ 2018;2018;5 670;Komedia;USA;1 godz. 30 min.;Etan Cohen
Medium;7;6.4;12 wrzesieÒ 2010;2010;25 977;Dramat;USA;2 godz. 9 min.;Clint Eastwood
The Kissing Booth;6;6.2;11 maj 2018;2018;38 592;Komedia rom.;USA;1 godz. 45 min.;Vince Marcello
Jestem matkπ;4;6.4;25 styczeÒ 2019;2019;23 269;Thriller;Australia;1 godz. 55 min.;Grant Sputore
ZabÛjczy rejs;4;5.7;14 czerwiec 2019;2019;52 486;Komedia kryminalna;USA;1 godz. 37 min.;Kyle Newacheck
Z≥oty kompas;4;6.3;27 listopad 2007;2007;71 643;Fantasy;USA;1 godz. 53 min.;Chris Weitz
Norbit;7;5.6;9 luty 2007;2007;53 610;Komedia rom.;USA;1 godz. 42 min.;Brian Robbins
Shaft;4;6.7;12 czerwiec 2019;2019;21 841;Krymina≥;USA;1 godz. 51 min.;Tim Story
Operacja Morze Czerwone;8;6.3;16 luty 2018;2018;967;Akcja;Chiny;2 godz. 22 min.;Dante Lam
Escape Room;4;6.0;2 styczeÒ 2019;2019;31 720;Horror;RPA;1 godz. 39 min.;Adam Robitel
The Highwaymen;7;6.7;10 marzec 2019;2019;29 994;Krymina≥;USA;2 godz. 12 min.;John Lee Hancock
Underdog;6;6.6;8 styczeÒ 2019;2019;27 499;Dramat;Polska;1 godz. 56 min.;Maciej Kawulski
Jestem mordercπ;3;7.2;19 wrzesieÒ 2016;2016;74 518;Thriller;Polska;1 godz. 47 min.;Maciej Pieprzyca
Ocean desperacji;6;6.3;20 marzec 2017;2017;5 548;Dramat;USA;1 godz. 48 min.;Phil Volken
Boski chillout;5;6.3;6 sierpieÒ 2008;2008;29 900;Komedia kryminalna;USA;1 godz. 51 min.;David Gordon Green
Radio;6;7.8;24 paüdziernik 2003;2003;33 694;Dramat obyczajowy;USA;1 godz. 49 min.;Michael Tollin
Charlie;8;7.6;8 wrzesieÒ 2012;2012;139 686;Melodramat;USA;1 godz. 43 min.;Stephen Chbosky
Wielki Mike. The Blind Side;5;7.8;17 listopad 2009;2009;145 140;Biograficzny;USA;2 godz. 8 min.;John Lee Hancock
Ultimatum Bourne'a;6;7.7;25 lipiec 2007;2007;174 194;Sensacyjny;Niemcy;1 godz. 55 min.;Paul Greengrass
Avengers: Koniec gry;NaN;8.1;10 kwiecieÒ 2019;2019;142 586;Akcja;USA;3 godz. 2 min.;Anthony Russo
Park Jurajski III;6;6.6;23 styczeÒ 2001;2001;69 426;Przygodowy;USA;1 godz. 32 min.;Joe Johnston
Dla niej wszystko;7;7.4;9 listopad 2010;2010;94 036;Dramat;Francja;2 godz. 13 min.;Paul Haggis
Kolekcjoner;5;7.3;10 wrzesieÒ 1997;1997;48 121;Krymina≥;USA;1 godz. 51 min.;Gary Fleder
Cisza;7;4.8;10 kwiecieÒ 2019;2019;17 792;Horror;Niemcy;1 godz. 30 min.;John R. Leonetti
Disco Polo;4;5.0;27 luty 2015;2015;63 132;Komedia;Polska;1 godz. 47 min.;Maciej Bochniak
80 milionÛw;9;7.0;25 listopad 2011;2011;40 766;Sensacyjny;Polska;1 godz. 42 min.;Waldemar Krzystek
DrogÛwka;3;7.1;14 grudzieÒ 2012;2013;197 502;Krymina≥;Polska;1 godz. 58 min.;Wojciech Smarzowski
Pod Mocnym Anio≥em;6;6.9;17 styczeÒ 2014;2014;127 333;Dramat;Polska;1 godz. 49 min.;Wojciech Smarzowski
Inkarnacja;7;6.4;27 marzec 2010;2010;46 384;Horror;USA;1 godz. 52 min.;Bjˆrn Stein
Bad Ass: Twardziel;6;5.7;13 kwiecieÒ 2012;2012;10 840;Dramat;USA;1 godz. 30 min.;Craig Moss
Tytus, Romek i A'Tomek wúrÛd z≥odziei marzeÒ;6;5.8;22 marzec 2002;2002;2 330;Animacja;Polska;1 godz. 15 min.;Leszek Ga≥ysz
Inwazja;8;6.1;17 sierpieÒ 2007;2007;30 625;Dramat;Australia;1 godz. 39 min.;Oliver Hirschbiegel
Uwaøaj, kochanie;7;6.2;22 wrzesieÒ 2016;2016;4 279;Thriller;Australia;1 godz. 25 min.;Chris Peckover
Niepowstrzymany;5;6.9;26 paüdziernik 2010;2010;56 498;Thriller;USA;1 godz. 39 min.;Tony Scott
Z dystansu;8;7.8;25 kwiecieÒ 2011;2011;52 031;Dramat;USA;1 godz. 40 min.;Tony Kaye
Ralph Demolka;6;7.2;1 listopad 2012;2012;77 124;Animacja;USA;1 godz. 48 min.;Rich Moore
Faworyta;7;7.5;30 sierpieÒ 2018;2018;68 554;Biograficzny;Irlandia;1 godz. 59 min.;Jorgos Lantimos
Tylko kochankowie przeøyjπ;6;7.2;25 maj 2013;2013;69 518;Horror;Francja;2 godz. 2 min.;Jim Jarmusch
Zwyczajna dziewczyna;8;6.4;11 wrzesieÒ 2016;2016;9 659;Komedia;Szwecja;1 godz. 57 min.;Lone Scherfig
Pierwszy reformowany;4;6.2;31 sierpieÒ 2017;2017;6 433;Dramat;USA;1 godz. 48 min.;Paul Schrader
